document,site_no,site_name,street_address,city_state_zip,county,enforcement_action,enforcement_action_number,enforcement_action_issued,case_closed,media,program,county_slug,site_slug
,23479,Grantsville WWTP,10300 Block of National Pike,"Grantsville,MD,21536",Garrett,Settlement Agreement and Consent Order,CO-20-2621,2019-11-21,,Surface Water Discharge Permit,Municipal Minor,garrett,grantsville-wwtp
,23545,Mirant - Westland Flyash Site,20831 Martinsburg Rd,"Dickerson,MD,20842",Montgomery,Penalty Settlement,Patrick Noyes,2017-10-31,2017-11-09,Surface Water Discharge Unauthorized,Industrial Minor,montgomery,mirant-westland-flyash-site
,23576,"Harwood Landfill, Inc.",4431 Sands Rd,"Harwood,MD,20776",Anne Arundel,Information Request,CO-13-1892,2022-12-22,,Surface Water Discharge Permit,Industrial Minor,anne-arundel,harwood-landfill-inc
,23637,Bel Alton WWTP,9225 Twinberry Drive,"Bel Alton,MD,20611",Charles,Amended Consent Order,ACO-06-0268,2014-09-25,2014-09-25,Surface Water Discharge Permit,Municipal Minor,charles,bel-alton-wwtp
,23638,Berlin WWTP,9210 Bottle Branch Rd,"Berlin,MD,21811",Worcester,Penalty Settlement,Patrick Noyes,2016-06-16,2016-06-23,Surface Water Discharge Unauthorized,Collection System (SSO),worcester,berlin-wwtp
,19976,"Strongs Bay Seafood, Inc",1719-A Little Creek Rd,"Chester,MD,21619",Queen Anne's,Penalty Settlement,PS-13-1790,2012-11-20,2014-09-11,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,,queen-anne-s,strongs-bay-seafood-inc
,20024,Perryville WWTP,72 Ikea Way,"Perryville,MD,21903",Cecil,Penalty Settlement,PS-14-2023,2013-11-06,2014-03-11,Surface Water Discharge Permit,Municipal Major,cecil,perryville-wwtp
,20304,"Rockville Fuel and Feed Co., Inc.",14901 Southlawn Lane,"Rockville,MD,20850",Montgomery,Penalty Settlement,"Bull, Kevin",2016-03-07,2016-03-17,Surface Water Discharge Permit,Industrial Minor,montgomery,rockville-fuel-and-feed-co-inc
,20603,APG-Edgewood Area,Edgewood Area-Aberdeen Proving Ground,"Aberdeen Proving Ground,MD,21010",Harford,Required Confirmation,,,2022-02-10,Surface Water Discharge Permit,Municipal Minor,harford,apg-edgewood-area
,20744,Hanover Foods Corp,502 Factory Ave,"Ridgely,MD,21660",Caroline,Penalty Settlement,Eisgruber,2011-09-12,2011-09-26,Stormwater Management,,caroline,hanover-foods-corp
,20765,Oakland WWTP,27 Oakland Rosedale Rd,"Oakland,MD,21550",Garrett,Penalty Settlement,PS-15-2168,2014-10-24,2014-10-24,Surface Water Discharge Unauthorized,Collection System (SSO),garrett,oakland-wwtp
,20834,Freedom District WWTP,1301 Raincliff Rd.,"Sykesville,MD,21784",Carroll,Consent Order,CO-12-1512,2011-11-09,2019-12-18,Surface Water Discharge Permit,,carroll,freedom-district-wwtp
,21119,Frederick City WWTP,100 Treatment Plant Road,"Frederick,MD,21701",Frederick,Stipulated Penalty,SP-19-2540,2018-07-11,2018-08-10,Surface Water Discharge Permit,Municipal Major,frederick,frederick-city-wwtp
,21831,Boone's Mobile Estates WWTP,1091 Marlboro Rd,"Lothian,MD,20711",Anne Arundel,Settlement Agreement,Eisgruber,2010-11-15,2012-05-29,Surface Water Discharge Permit,Municipal Minor,anne-arundel,boone-s-mobile-estates-wwtp
,21857,Homestead Mobile Estates WWTP,27 Benjamin Park Dr,"Port Deposit,MD,21904",Cecil,Penalty Settlement,PS-15-2191,2014-12-04,2014-12-11,Surface Water Discharge Unauthorized,Collection System (SSO),cecil,homestead-mobile-estates-wwtp
,21858,Highland View Academy WWTP,10335 Academy Drive,"Hagerstown,MD,21740",Washington,Consent Order,COP-15-2185,2014-12-10,2015-09-17,Groundwater Discharge Permit,Municipal Minor,washington,highland-view-academy-wwtp
,21865,Thunderbird Motel WWTP,11050 Crain Hwy,"Newburg,MD,20664",Charles,Consent Order,CO-14-2022,2013-11-05,2018-03-09,Surface Water Discharge Permit,Municipal Minor,charles,thunderbird-motel-wwtp
,22169,Town of Galena WWTP,13265 Augustine Herman Hwy,"Galena,MD,21635",Kent,Stipulated Penalty,Patrick Noyes,2019-03-19,2019-06-06,Surface Water Discharge Permit,Municipal Minor,kent,town-of-galena-wwtp
,22171,Chestertown WWTP,25792 John Hanson Rd,"Chestertown,MD,21620",Kent,Penalty Settlement,"Bull, Kevin",2015-07-22,2015-10-15,Surface Water Discharge Unauthorized,Collection System (SSO),kent,chestertown-wwtp
,22190,A & X Steel and Aluminum Co.,2825 Annapolis Rd,"Baltimore,MD,21230",Baltimore City,"Complaint, Order, Penalty",,2013-03-19,2013-11-21,Surface Water Discharge Unauthorized,,baltimore-city,a-x-steel-and-aluminum-co
,22310,Clearview Golf & Country Club,5650 Country Club Rd,"Cambridge,MD,21613",Dorchester,Complaint & Order,,2010-06-18,2010-09-26,Surface Water Discharge Unauthorized,,dorchester,clearview-golf-country-club
,22913,Castaways RV Resort and Campground,12550 Eagles Nest Rd,"Berlin,MD,21811",Worcester,Settlement Agreement,Eisgruber,2013-01-08,2014-05-27,Groundwater Discharge Permit;Groundwater Discharge Unauthorized,Municipal Minor,worcester,castaways-rv-resort-and-campground
,22934,"Charlotte Hall Center, Inc. WWTP",29940 Three Notch Rd,"Charlotte Hall,MD,20622",St. Mary's,Settlement Agreement,Arno Laud,2014-08-13,2014-09-10,Groundwater Discharge Permit,Municipal Minor,st-mary-s,charlotte-hall-center-inc-wwtp
,22951,Allegany County Combined Sewer Overflows,11427 Upper Georges Creek Road,"Frostburg,MD,21532",Allegany,Consent Decree,01-C-00-18342L,2001-12-14,,Surface Water Discharge Unauthorized,Collection System (CSO),allegany,allegany-county-combined-sewer-overflows
,23058,Baltimore Scrap Corporation,3000 Vera St,"Curtis Bay,MD,21226",Baltimore City,Stipulated Penalty,SP-20-2646,2020-06-26,,Stormwater Management,Industrial Stormwater,baltimore-city,baltimore-scrap-corporation
,23478,Town of Indian Head WWTP,1 Hailey Rd,"Indian Head,MD,20640",Charles,Penalty Settlement,Patrick Noyes,2015-12-04,2016-12-15,Surface Water Discharge Unauthorized,Collection System (SSO),charles,town-of-indian-head-wwtp
,23478,Town of Indian Head WWTP,1 Hailey Rd,"Indian Head,MD,20640",Charles,Penalty Settlement,PS-16-2341,2015-12-04,2016-12-15,Surface Water Discharge Unauthorized,Collection System (SSO),charles,town-of-indian-head-wwtp
,23481,Hancock WWTP,Hess Road (NE of Hancock),"Hancock,MD,21750",Washington,Consent Order,COP-15-2255,2015-05-15,,Surface Water Discharge Permit,Municipal Minor,washington,hancock-wwtp
,23482,The City of Westminster Water Reclamation Facility (WRF),1161 Old New Windsor Pike,"Westminster,MD,21158",Carroll,Stipulated Penalty,SP-20-2645,2020-04-28,2020-05-07,Surface Water Discharge Permit,Municipal Major,carroll,the-city-of-westminster-water-reclamation-facility-wrf
,46,"Dickerson Generating Station/GenOn Mid-Atlantic, LLC",21200 Martinsburg Road,"Dickerson,MD,20842",Montgomery,Penalty Settlement,Arno Laud,2017-07-20,2017-08-15,Surface Water Discharge Unauthorized,Industrial Major,montgomery,dickerson-generating-station-genon-mid-atlantic-llc
,167,GAF,1500 S Ponca St,"Highlandtown,MD,21224",Baltimore City,Penalty Settlement,PS-15-2226,2015-03-04,2015-03-20,Surface Water Discharge Unauthorized,Industrial Minor,baltimore-city,gaf
,503,Father Martin's Ashley,800 Tydings Lane,"Havre De Grace,MD,21078",Harford,Stipulated Penalty,SP-22-2789,2022-05-02,2022-05-20,Groundwater Discharge Permit,Municipal Minor,harford,father-martin-s-ashley
,1768,Andrews Air Force Base,"3466 North Carolina Ave, 316 CES/CEV","Andrews Airforce Base,MD,20762",Prince George's,Penalty Settlement,SAP-13-1753,2012-09-14,2012-11-02,Sediment,,prince-george-s,andrews-air-force-base
,1873,V Luke LLC,300 Pratt Street,"Luke,MD,21540-1099",Allegany,"Complaint, Order, Penalty",JOP-21-2665,2020-05-28,,Surface Water Discharge Unauthorized,Industrial Major,allegany,v-luke-llc
,1916,City of Hagerstown WWTP/Pangborn Park Lake Silt Disposal Site,1 Clean Water Circle,"Hagerstown,MD,21740",Washington,Penalty Settlement,Joe Bieberich,2017-04-04,2017-04-21,Surface Water Discharge Unauthorized,Collection System (SSO),washington,city-of-hagerstown-wwtp-pangborn-park-lake-silt-disposal-site
,1919,GenOn Chalk Point LLC Generating Station,25100 Chalk Point Road,"Aquasco,MD,20608",Prince George's,Required Confirmation,Lenn Roberts,2020-11-02,2020-11-10,Surface Water Discharge Permit,Industrial Major,prince-george-s,genon-chalk-point-llc-generating-station
,2102,W. R. Grace & Co. - Davison Chemical,5500 Chemical Rd,"Curtis Bay,MD,21226-1698",Baltimore City,Penalty Settlement,PS-13-1793,2012-10-26,2012-12-01,Surface Water Discharge Permit,Industrial Major,baltimore-city,w-r-grace-co-davison-chemical
,3076,Patapsco WWTP,3501 Asiatic Ave,"Curtis Bay,MD,21226",Baltimore City,Required Confirmation,Lenn Roberts,2015-01-28,2022-03-07,Surface Water Discharge Permit,Municipal Major,baltimore-city,patapsco-wwtp
,3209,William T. Burnett and Company,2112 Montevideo Road,"Jessup,MD,20794",Anne Arundel,Penalty Settlement,Arno Laud,2015-09-04,2015-09-23,Surface Water Discharge Unauthorized,Industrial Stormwater,anne-arundel,william-t-burnett-and-company
,4013,Cambridge WWTP,1010 Roslyn Ave,"Cambridge,MD,21613",Dorchester,Penalty Settlement,Patrick Noyes,2018-03-23,2018-05-15,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Municipal Major,dorchester,cambridge-wwtp
,4116,C P Crane Generating Station,1001 Carroll Island Rd,"Middle River,MD,21220",Baltimore,Penalty Settlement,"Bull, Kevin",2015-08-26,2015-09-23,Surface Water Discharge Unauthorized,Industrial Major,baltimore,c-p-crane-generating-station
,7992,Salisbury WWTP/Outwall Diffuser Utility Repair,1142 Marine Road,"Salisbury,MD,21801",Wicomico,Stipulated Penalty,Patrick Noyes,2018-05-23,2018-06-11,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Collection System (SSO),wicomico,salisbury-wwtp-outwall-diffuser-utility-repair
,7992,Salisbury WWTP/Outwall Diffuser Utility Repair,1142 Marine Road,"Salisbury,MD,21801",Wicomico,Stipulated Penalty,Patrick Noyes,2018-12-28,2019-01-14,Surface Water Discharge Unauthorized,Municipal Major,wicomico,salisbury-wwtp-outwall-diffuser-utility-repair
,8220,Camp Fretterd State Army and Command Center,"13700 Hanover Pike, 5401 Rue Saint Lo Dr","Reisterstown,MD,21136",Baltimore,Penalty Settlement,,,2016-07-13,Not Applicable,Municipal Minor,baltimore,camp-fretterd-state-army-and-command-center
,9164,Mount Saint Mary's University,16300 Old Emmitsburg Rd,"Emmitsburg,MD,21727",Frederick,Consent Order,COP-15-2244,2015-04-27,2016-07-13,Surface Water Discharge Permit,Municipal Minor,frederick,mount-saint-mary-s-university
,9680,Anne Arundel County Dept of Public Works/ Parking Lot,2644 Riva Rd,"Annapolis,MD,21401",Anne Arundel,Penalty Settlement,PS-13-1830,2013-01-18,2013-02-07,Surface Water Discharge Unauthorized,Industrial Minor,anne-arundel,anne-arundel-county-dept-of-public-works-parking-lot
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2389247,11313,Hampstead WWTP,4455 Northwoods Trail,"Hampstead,MD,21074",Carroll,Stipulated Penalty,SP-23-2850,2022-11-15,2023-01-18,Surface Water Discharge Permit,Municipal Minor,carroll,hampstead-wwtp
,11652,Aberdeen Advanced Wastewater Treatment Plant,361 Michaels Lane,"Aberdeen,MD,21001",Harford,Consent Order,CO-12-1565,2012-01-18,2015-12-14,Surface Water Discharge Permit,Municipal Major,harford,aberdeen-advanced-wastewater-treatment-plant
,18299,Bohemia Manor High School WWTP,2757 Augustine Herman Hwy,"Chesapeake City,MD,21915",Cecil,Amended Consent Order,CO-12-1545,2013-01-25,2014-01-09,Surface Water Discharge Permit,Municipal Minor,cecil,bohemia-manor-high-school-wwtp
,18426,Mystic Harbour WWTP,9423 Stephen Decatur Hwy.,"Berlin,MD,21811",Worcester,Stipulated Penalty,Patrick Noyes,2018-11-05,2018-11-27,Groundwater Discharge Permit,Municipal Minor,worcester,mystic-harbour-wwtp
,18646,Campus Hills Shopping Center,2300-2400 Churchville Rd,"Churchville,MD,21015",Harford,Consent Order,CO-08-0717,2008-04-25,2019-01-01,Groundwater Discharge Permit,Municipal Minor,harford,campus-hills-shopping-center
,18734,Ocean City WWTP,6405 Seabay Drive,"Ocean City,MD,21842",Worcester,Penalty Settlement,"Bull, Kevin",2014-11-13,2014-12-12,Surface Water Discharge Unauthorized,Collection System (SSO),worcester,ocean-city-wwtp
,19755,Rhode River Marina,3932 Germantown Rd,"Edgewater,MD,21037",Anne Arundel,,,,,Not Assigned,,anne-arundel,rhode-river-marina
,20249,The Recycling Center,14852 Old Gunpowder Road,"Laurel,MD,20707",Prince George's,Penalty Settlement,PS-14-2038,2013-12-11,2013-12-31,Sediment;Surface Water Discharge Permit,Industrial Minor,prince-george-s,the-recycling-center
,20603,APG-Edgewood Area,Edgewood Area-Aberdeen Proving Ground,"Aberdeen Proving Ground,MD,21010",Harford,Consent Order,CWA-3-2012-0114FF,2012-09-25,2017-09-15,Surface Water Discharge Permit,Municipal Minor,harford,apg-edgewood-area
,20603,APG-Edgewood Area,Edgewood Area-Aberdeen Proving Ground,"Aberdeen Proving Ground,MD,21010",Harford,Offer to Settle,,2021-07-20,2022-02-10,Surface Water Discharge Permit,Municipal Minor,harford,apg-edgewood-area
,20908,Conococheague WWTP,16232 Elliott Pkwy,"Williamsport,MD,21795",Washington,Consent Order,CO-12-1552,2011-12-28,2021-07-23,Surface Water Discharge Permit,Municipal Major,washington,conococheague-wwtp
,21037,Ceco Utilities WWTP,91 Johnstown Road,"Elkton,MD,21921",Cecil,Amended Complaint & Order,CO-14-1983,2012-11-30,2013-05-02,Surface Water Discharge Permit,Municipal Minor,cecil,ceco-utilities-wwtp
,21119,Frederick City WWTP,100 Treatment Plant Road,"Frederick,MD,21701",Frederick,Consent Order,CO-12-1402,2011-07-19,2020-09-01,Surface Water Discharge Permit,,frederick,frederick-city-wwtp
,21119,Frederick City WWTP,100 Treatment Plant Road,"Frederick,MD,21701",Frederick,Penalty Settlement,"Bul, Kevin",2015-03-24,2015-03-24,Surface Water Discharge Unauthorized,Collection System (SSO),frederick,frederick-city-wwtp
,21119,Frederick City WWTP,100 Treatment Plant Road,"Frederick,MD,21701",Frederick,Required Confirmation,Lenn Roberts,2019-06-06,2020-04-20,Not Assigned,,frederick,frederick-city-wwtp
,21790,"Beechwood Coal, LLC- Klondike Mine","Hersick Road & Klondike Rd, 2 Miles West of Woodland","Midlothian,MD,21543",Garrett,,,,,Not Assigned,,garrett,beechwood-coal-llc-klondike-mine
,21831,Boone's Mobile Estates WWTP,1091 Marlboro Rd,"Lothian,MD,20711",Anne Arundel,Settlement Agreement,Eisgruber,2010-11-15,2010-11-15,Surface Water Discharge Permit,Municipal Minor,anne-arundel,boone-s-mobile-estates-wwtp
,22065,Daniel G. Schuster Inc.- Jessup,10782 Guilford Road,"Jessup,MD,20794",Howard,Settlement Agreement,Patrick Noyes,2018-12-14,2018-12-26,Surface Water Discharge Permit,Industrial Minor,howard,daniel-g-schuster-inc-jessup
,22125,Chaney Enterprises - Seat Pleasant,45 Yost Place,"Seat Pleasant,MD,20785",Prince George's,Settlement Agreement,SA-20-2625,2019-11-15,2020-01-24,Surface Water Discharge Permit,Industrial Minor,prince-george-s,chaney-enterprises-seat-pleasant
,22169,Town of Galena WWTP,13265 Augustine Herman Hwy,"Galena,MD,21635",Kent,Stipulated Penalty,Julie Gowe,2013-06-10,2013-07-10,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Municipal Minor,kent,town-of-galena-wwtp
,22178,Relax Inn WWTP,9340 Crain Hwy,"Bel Alton,MD,20611",Charles,"Complaint, Order, Penalty",Linda Eisgruber,2015-06-22,2015-10-14,Surface Water Discharge Permit,Municipal Minor,charles,relax-inn-wwtp
,22178,Relax Inn WWTP,9340 Crain Hwy,"Bel Alton,MD,20611",Charles,Consent Order,COP-16-2331,2015-10-14,,Surface Water Discharge Permit,Municipal Minor,charles,relax-inn-wwtp
,22934,"Charlotte Hall Center, Inc. WWTP",29940 Three Notch Rd,"Charlotte Hall,MD,20622",St. Mary's,Settlement Agreement,SA-15-2128,2014-08-13,2014-09-10,Groundwater Discharge Permit,Municipal Minor,st-mary-s,charlotte-hall-center-inc-wwtp
,22987,Stoney Creek Bridge Marina,430 Greenland Beach Rd,"Baltimore,MD,21226",Anne Arundel,Complaint & Penalty,AP-14-1984,2013-09-09,2014-09-17,Surface Water Discharge Permit,Industrial Minor,anne-arundel,stoney-creek-bridge-marina
,23210,"Universal Distribution Services, Inc",4000 Universal Trade Dr,"Dundalk,MD,21222",Baltimore,Settlement Agreement,Patrick Noyes,2015-12-15,2016-01-11,Surface Water Discharge Permit,Industrial Stormwater,baltimore,universal-distribution-services-inc
,23243,Forty West Municipal Landfill - See Master AI 147571,12630 Earth Care Rd,"Hagerstown,MD,21740",Washington,Penalty Settlement,PS-13-1773,2012-10-03,2012-11-13,Notice of Intent;Sediment,Notice of Intent (Construction),washington,forty-west-municipal-landfill-see-master-ai-147571
,23448,Aberdeen Area Wastewater Treatment Plant,6375 Static St,"Aberdeen Proving Ground,MD,21005",Harford,Consent Order,CO-12-1566,2012-01-18,2015-10-20,Surface Water Discharge Permit,Municipal Major,harford,aberdeen-area-wastewater-treatment-plant
,23551,GenOn MD Ash Management LLC-Faulkner Flyash Management Site,10200 Faulkner Road,"Faulkner,MD,20664",Charles,Stipulated Penalty,CJ-13-1926,2021-07-19,,Surface Water Discharge Permit,Industrial Minor,charles,genon-md-ash-management-llc-faulkner-flyash-management-site
,23567,Rock Hall WWTP,north Main St. & Anderson Ave.,"Rock Hall,MD,21661",Kent,Penalty Settlement,"Bull, Kevin",2014-08-12,2014-09-12,Surface Water Discharge Unauthorized,Collection System (SSO),kent,rock-hall-wwtp
,23650,Rising Sun WWTP,2500 Conowingo Road,"Rising Sun,MD,21911",Cecil,Stipulated Penalty,Julie Gowe,2014-07-22,2015-02-10,Surface Water Discharge Permit,Municipal Minor,cecil,rising-sun-wwtp
,88,Piney Point - Sunoco LLC,17877 Piney Point Rd,"Piney Point,MD,20674",St. Mary's,Settlement Agreement,Eisgruber,2013-10-11,2014-09-05,Surface Water Discharge Permit,Industrial Minor,st-mary-s,piney-point-sunoco-llc
,503,Father Martin's Ashley,800 Tydings Lane,"Havre De Grace,MD,21078",Harford,Offer to Settle,CO-19-2580,2021-04-26,2022-05-20,Groundwater Discharge Permit,Municipal Minor,harford,father-martin-s-ashley
,641,"Daniel G. Schuster, LLC",3717 Crondall Lane,"Owings Mills,MD,21117",Baltimore,Settlement Agreement,Patrick Noyes,2018-12-14,2018-12-26,Surface Water Discharge Permit,Industrial Minor,baltimore,daniel-g-schuster-llc
,731,Southern MD Agricultural Association/Bowie Training Facility,8300 Race Track Road,"Bowie,MD,20715",Prince George's,Penalty Settlement,Arno Laud,2015-12-01,2015-12-01,Surface Water Discharge Unauthorized,Industrial Minor,prince-george-s,southern-md-agricultural-association-bowie-training-facility
,1873,V Luke LLC,300 Pratt Street,"Luke,MD,21540-1099",Allegany,"Complaint, Order, Penalty",Lenn Roberts,2019-12-16,2020-07-06,Surface Water Discharge Unauthorized,Industrial Major,allegany,v-luke-llc
,1916,City of Hagerstown WWTP/Pangborn Park Lake Silt Disposal Site,1 Clean Water Circle,"Hagerstown,MD,21740",Washington,Required Confirmation,Lenn Roberts,2020-04-28,2020-08-14,Surface Water Discharge Unauthorized,Collection System (SSO),washington,city-of-hagerstown-wwtp-pangborn-park-lake-silt-disposal-site
,2824,Prince Specialty Products LLC,610 Pittman Rd,"Curtis Bay,MD,21226",Anne Arundel,Penalty Settlement,C-17-2453,2017-02-16,2017-04-17,Sediment,,anne-arundel,prince-specialty-products-llc
,3183,Ourisman Honda of Laurel,3371 Fort Meade Rd,"Laurel,MD,20724",Anne Arundel,Penalty Settlement,Joe Bieberich,2017-02-01,2017-03-07,Groundwater Discharge Permit,Industrial Minor,anne-arundel,ourisman-honda-of-laurel
,3306,"American Aquaculture Holdings, LLC",12041Cordova Road,"Cordova,MD,21625",Talbot,Penalty Settlement,Patrick Noyes,2019-04-30,2019-05-20,Groundwater Discharge Permit,Industrial Minor,talbot,american-aquaculture-holdings-llc
